Liquidación de expensas - Consorcio Av. Libertador 4250 - Julio 2026
Fecha,Concepto,Proveedor,Detalle,Importe
05/07/2026,Cobranza de expensas ordinarias,,Ingreso mensual UF,"$ 6.840.000,00"
08/07/2026,Cuota obra de fachada,,Expensa extraordinaria,"$ 920.500,00"
03/07/2026,Sueldo encargado,Nómina J. Pereyra,Liquidación de haberes,"-$ 2.310.000,00"
06/07/2026,Servicio de limpieza,Limpio S.R.L.,Áreas comunes,"-$ 560.000,00"
10/07/2026,Factura de electricidad,Edenor,Consumo áreas comunes,"-$ 498.300,00"
09/07/2026,Mantenimiento de ascensores,Ascensores Otis,Abono mensual,"-$ 372.000,00"
14/07/2026,Póliza de seguro del edificio,La Caja,Cuota mensual,"-$ 305.000,00"
18/07/2026,Reparación de plomería,Plomería del Centro,Cañería subsuelo,"-$ 415.700,00"
20/07/2026,Honorarios de administración,Ágora Consorcios,Servicio del mes,"-$ 745.000,00"
12/07/2026,Intereses por mora,,Recargo pago fuera de término,"$ 132.400,00"
TOTAL,,,,"$ 2.686.900,00"
